item_id,item_type,source_file,source_section,severity,execution_phase,required_before_day,required_before_metric,required_before_claim,requires_real_a2_output,requires_tts_backend,requires_week1_data,requires_day8_pass,blocks_day9,blocks_day10,blocks_day11,blocks_day12,blocks_claim,protocol_amendment_if_failed,detector_access_relevant,expected_evidence,evidence_path_pattern,status_initial,notes
F13,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,LOW,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F14,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,MEDIUM,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F15,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,LOW,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F16,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,LOW,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
F17,FINDING,A2_STATIC_COMPATIBILITY_AUDIT.md,findings,LOW,Day11,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,test result file + code reference,tests/test_a2_*.py,NOT_FIXED,normalized severity
T01,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT(+B fixture),Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T01,NOT_RUN,unit; no TTS
T02,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T02,NOT_RUN,unit; no TTS
T03,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T03,NOT_RUN,unit; no TTS
T04,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T04,NOT_RUN,unit; no TTS
T05,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T05,NOT_RUN,unit; no TTS
T06,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T06,NOT_RUN,unit; no TTS
T07,TEST,A2_REQUIRED_TEST_MAP.md,test plan,NON_BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T07,NOT_RUN,unit; no TTS
T08,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,pytest result referencing the implemented test,tests/test_a2_*.py::T08,NOT_RUN,unit; no TTS
T09,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T09,NOT_RUN,unit; no TTS
T10,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_B_FIXTURE_MANIFEST,Day11,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T10,NOT_RUN,unit; no TTS
T11,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T11,NOT_RUN,unit; no TTS
T12,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T12,NOT_RUN,unit; no TTS
T13,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T13,NOT_RUN,unit; no TTS
T14,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_C_POST_A2_DATA,Day11,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T14,NOT_RUN,requires frozen A2 outputs
T15,TEST,A2_REQUIRED_TEST_MAP.md,test plan,NON_BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T15,NOT_RUN,unit; no TTS
T16,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T16,NOT_RUN,unit; no TTS
T17,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T17,NOT_RUN,unit; no TTS
T18,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_C_POST_A2_DATA,Day11,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T18,NOT_RUN,requires frozen A2 outputs
T19,TEST,A2_REQUIRED_TEST_MAP.md,test plan,NON_BLOCKING,PHASE_C_POST_A2_DATA,Day11,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T19,NOT_RUN,requires frozen A2 outputs
T20,TEST,A2_REQUIRED_TEST_MAP.md,test plan,NON_BLOCKING,PHASE_C_POST_A2_DATA,Day11,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T20,NOT_RUN,requires frozen A2 outputs
T21,TEST,A2_REQUIRED_TEST_MAP.md,test plan,BLOCKING,PHASE_A_PRE_A2_UNIT,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,pytest result referencing the implemented test,tests/test_a2_*.py::T21,NOT_RUN,unit; no TTS
BACKEND_LOAD_FAIL,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=N/A; retry=YES
CHECKPOINT_MISMATCH,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=N/A; retry=NO
REFERENCE_INVALID,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=N/A; retry=NO
TEXT_MISMATCH,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=N/A; retry=NO
EMPTY_OUTPUT,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=DISCARD; retry=YES
NONFINITE_OUTPUT,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=DISCARD; retry=YES
NO_ACTIVE_SPEECH,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=DISCARD; retry=YES
TRIM_COLLAPSE,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=RETAIN; retry=NO
INSUFFICIENT_SYNTHETIC_CORE,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=RETAIN; retry=NO
RMS_MATCH_FAIL,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,LOW,Day9-Day10,Day9,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=QA_FLAG; waveform=RETAIN; retry=NO
PEAK_SAFE_FAIL,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=DISCARD; retry=NO
SERIALIZATION_MISMATCH,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,HIGH,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=DISCARD; retry=YES
OFFLINE_RELOAD_FAIL,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=N/A; retry=NO
DETERMINISM_MISMATCH,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,MEDIUM,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=DETERMINISM_LIMITATION; waveform=RETAIN; retry=NO
TIMELINE_INCONSISTENCY,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=RETAIN; retry=NO
GT_OUT_OF_RANGE,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=RETAIN; retry=NO
SUFFIX_MISMATCH,FAILURE_CLASS,A2_FAILURE_TAXONOMY.md,taxonomy table,CRITICAL,Day9-Day10,Day9,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,sidecar generation_status + failure_reason row,data/manifests/a2_*.csv,NOT_OBSERVED,status_effect=HARD_FAILURE; waveform=RETAIN; retry=NO
L1,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,reference_audio_leakage,HIGH,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_detector_input_denylist
L2,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,reference_embedding_leakage,HIGH,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_detector_input_denylist
L3,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,speaker_id_leakage,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_detector_input_denylist
L4,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,paired_clean_leakage,HIGH,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_b3_forbidden_in_a2_primary;test_a2_b3_skipped
L5,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,test_threshold_tuning,HIGH,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_threshold_reuse_frozen
L6,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,generator_metadata_leakage,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_detector_input_denylist
L7,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,failure_code_leakage,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,evaluation report artifact,MITIGATED_PENDING_TEST,tests=denominator_report_check
L8,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,duration_delta_shortcut,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_prefix_null_control
L9,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,crossfade_shortcut,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,evaluation report artifact,MITIGATED_PENDING_TEST,tests=zone_statistics_report_check
L10,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,trim_edge_shortcut,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,evaluation report artifact,MITIGATED_PENDING_TEST,tests=trim_margin_validator_check
L11,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,silence_shortcut,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_silence_distribution_shift_report
L12,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,constructed_boundary_shortcut,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_outside_anomaly_vs_a0_control
L13,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,sample_rate_codec_shortcut,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,evaluation report artifact,MITIGATED_PENDING_TEST,tests=format_sr_validator_check
L14,LEAKAGE,WEEK2_A2_LEAKAGE_SHORTCUT_AUDIT.md,filename_path_leakage,MEDIUM,Day11,Day11,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,required test(s) PASS + denylist unit coverage,tests/test_a2_*.py,MITIGATED_PENDING_TEST,tests=test_a2_loader_reads_sidecar;test_a2_record_id_roundtrip
DAY8_GATE,GATE,week2a_gate_registry.yaml,DAY8_GATE,BLOCKING,Day8,Day8,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,HOLD,dry-run verified by research_assurance/tools/week2a_gate_check.py
DAY9_GATE,GATE,week2a_gate_registry.yaml,DAY9_GATE,BLOCKING,Day9,Day9,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,BLOCKED_BY_DAY8,dry-run verified by research_assurance/tools/week2a_gate_check.py
DAY10_GATE,GATE,week2a_gate_registry.yaml,DAY10_GATE,BLOCKING,Day10,Day10,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,BLOCKED_BY_DAY9,dry-run verified by research_assurance/tools/week2a_gate_check.py
DAY11_METRIC_GATE,GATE,week2a_gate_registry.yaml,DAY11_METRIC_GATE,BLOCKING,Day11,Day11,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,BLOCKED_BY_A2_OUTPUT,dry-run verified by research_assurance/tools/week2a_gate_check.py
DAY12_ANALYSIS_GATE,GATE,week2a_gate_registry.yaml,DAY12_ANALYSIS_GATE,BLOCKING,Day12,Day12,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,BLOCKED_BY_A2_OUTPUT,dry-run verified by research_assurance/tools/week2a_gate_check.py
DAY13_DECISION_GATE,GATE,week2a_gate_registry.yaml,DAY13_DECISION_GATE,BLOCKING,Day13,Day13,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,BLOCKED_BY_A2_OUTPUT,dry-run verified by research_assurance/tools/week2a_gate_check.py
WEEK2A_CLAIM_GATE,GATE,week2a_gate_registry.yaml,WEEK2A_CLAIM_GATE,BLOCKING,Week2a,Week2a,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,gate registry prerequisites satisfied with cited artifacts,results/week1/hashes.json; data/manifests/a2_*; tests/,NO_A2_CLAIMS_YET,dry-run verified by research_assurance/tools/week2a_gate_check.py
TTS_replacement,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
synthetic_speech,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
voice_conditioned_replacement,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
deepfake_context,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
deepfake_detection,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
same_text_TTS_localization_signal,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
robust,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
generalize,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
adaptive_robustness,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
native_audiobook,CLAIM_GATE,WEEK2_PUBLICATION_CLAIM_GATE.md,terms,CLAIM,Day13+,Day13,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,evidence classes per claim registry + Day13 scenario,results/week1/claims.md,NOT_PERMITTED_YET,see week2a_claim_registry.yaml for first_permitted_evidence
